5km,경도,구간,노선명,반기,발생건수,방 향,본부명,사고율,위도,지사명,년도,노선코드,방향
330,127.386 ,330~335,제2중부선,상반기,4,하남,수도권,0.8,37.283 ,경기광주,2019,,
325,127.421 ,325~330,중부선,상반기,7,통영,수도권,1.4,37.249 ,경기광주,2019,,
330,127.385 ,330~335,중부선,상반기,10,통영,수도권,2,37.283 ,경기광주,2019,,
335,127.347 ,335~340,중부선,상반기,7,통영,수도권,1.4,37.315 ,경기광주,2019,,
340,127.321 ,340~345,중부선,상반기,4,통영,수도권,0.8,37.354 ,경기광주,2019,,
345,127.311 ,345~350,중부선,상반기,6,통영,수도권,1.2,37.398 ,경기광주,2019,,
350,127.289 ,350~355,중부선,상반기,3,통영,수도권,0.6,37.439 ,경기광주,2019,,
330,127.385 ,330~335,중부선,상반기,3,하남,수도권,0.6,37.283 ,경기광주,2019,,
45,127.139 ,45~50,영동선,상반기,5,서창,수도권,1,37.289 ,군포,2019,,
15,129.091 ,15~20,동해선,하반기,3,근덕,강원,0.6,37.486 ,강릉,2019,,
50,128.897 ,50~55,동해선,하반기,3,속초,강원,0.6,37.691 ,강릉,2019,,
100,128.630 ,100~105,동해선,상반기,3,속초,강원,0.6,38.057 ,양양,2019,,
115,127.831 ,115~120,영동선,상반기,3,강릉,강원,0.6,37.316 ,원주,2019,,
140,128.036 ,140~145,영동선,상반기,4,서창,강원,0.8,37.445 ,원주,2019,,
55,127.235 ,55~60,영동선,중복,7,강릉,강원,0.7,37.248 ,이천,2019,,
60,127.289 ,60~65,영동선,중복,12,강릉,강원,1.2,37.239 ,이천,2019,,
65,127.342 ,65~70,영동선,상반기,3,강릉,강원,0.6,37.252 ,이천,2019,,
70,127.393 ,70~75,영동선,상반기,3,강릉,강원,0.6,37.240 ,이천,2019,,
75,127.446 ,75~80,영동선,중복,11,강릉,강원,1.1,37.237 ,이천,2019,,
80,127.501 ,80~85,영동선,중복,8,강릉,강원,0.8,37.245 ,이천,2019,,
50,127.186 ,50~55,영동선,하반기,4,서창,강원,0.8,37.269 ,이천,2019,,
55,127.235 ,55~60,영동선,중복,8,서창,강원,0.8,37.248 ,이천,2019,,
60,127.289 ,60~65,영동선,상반기,4,서창,강원,0.8,37.239 ,이천,2019,,
70,127.393 ,70~75,영동선,하반기,3,서창,강원,0.6,37.240 ,이천,2019,,
75,127.446 ,75~80,영동선,중복,6,서창,강원,0.6,37.237 ,이천,2019,,
270,127.582 ,270~275,중부내륙선,상반기,3,창원,강원,0.6,37.270 ,이천,2019,,
315,127.913 ,315~320,중앙선,상반기,7,부산,강원,1.4,37.341 ,홍천,2019,,
320,127.894 ,320~325,중앙선,상반기,3,부산,강원,0.6,37.383 ,홍천,2019,,
345,127.973 ,345~350,중앙선,상반기,3,부산,강원,0.6,37.573 ,홍천,2019,,
360,127.874 ,360~365,중앙선,상반기,6,부산,강원,1.2,37.670 ,홍천,2019,,
370,127.797 ,370~375,중앙선,중복,9,부산,강원,0.9,37.725 ,홍천,2019,,
375,127.791 ,375~380,중앙선,상반기,3,부산,강원,0.6,37.766 ,홍천,2019,,
315,127.913 ,315~320,중앙선,중복,8,춘천,강원,0.8,37.341 ,홍천,2019,,
320,127.894 ,320~325,중앙선,상반기,3,춘천,강원,0.6,37.383 ,홍천,2019,,
335,127.959 ,335~340,중앙선,상반기,5,춘천,강원,1,37.497 ,홍천,2019,,
340,127.979 ,340~345,중앙선,상반기,4,춘천,강원,0.8,37.530 ,홍천,2019,,
5,127.479 ,5~10,청주상주선,상반기,3,상주,충북,0.6,36.546 ,보은,2019,,
40,127.836 ,40~45,청주상주선,상반기,4,상주,충북,0.8,36.456 ,보은,2019,,
45,127.888 ,45~50,청주상주선,상반기,4,상주,충북,0.8,36.447 ,보은,2019,,
70,128.132 ,70~75,청주상주선,중복,7,상주,충북,0.7,36.370 ,보은,2019,,
70,128.132 ,70~75,청주상주선,하반기,3,청주,충북,0.6,36.370 ,보은,2019,,
55,127.443 ,55~60,평택제천선,상반기,3,제천,충북,0.6,36.947 ,엄정,2019,,
275,128.170 ,275~280,중앙선,하반기,3,부산,충북,0.6,37.084 ,제천,2019,,
280,128.150 ,280~285,중앙선,상반기,3,부산,충북,0.6,37.121 ,제천,2019,,
290,128.118 ,290~295,중앙선,상반기,5,부산,충북,1,37.202 ,제천,2019,,
295,128.081 ,295~300,중앙선,중복,9,부산,충북,0.9,37.233 ,제천,2019,,
260,128.294 ,260~265,중앙선,중복,6,춘천,충북,0.6,37.005 ,제천,2019,,
275,128.170 ,275~280,중앙선,상반기,5,춘천,충북,1,37.084 ,제천,2019,,
280,128.150 ,280~285,중앙선,상반기,4,춘천,충북,0.8,37.121 ,제천,2019,,
290,128.118 ,290~295,중앙선,상반기,4,춘천,충북,0.8,37.202 ,제천,2019,,
295,128.081 ,295~300,중앙선,중복,9,춘천,충북,0.9,37.233 ,제천,2019,,
310,127.955 ,310~315,중앙선,하반기,3,춘천,충북,0.6,37.313 ,제천,2019,,
260,127.438 ,260~265,중부선,상반기,3,통영,충북,0.6,36.709 ,진천,2019,,
280,127.481 ,280~285,중부선,하반기,3,통영,충북,0.6,36.859 ,진천,2019,,
305,127.463 ,305~310,중부선,하반기,3,통영,충북,0.6,37.077 ,진천,2019,,
245,127.428 ,245~250,중부선,하반기,3,하남,충북,0.6,36.579 ,진천,2019,,
295,127.475 ,295~300,중부선,상반기,3,하남,충북,0.6,36.991 ,진천,2019,,
260,127.613 ,260~265,중부내륙선,하반기,3,양평,충북,0.6,37.188 ,충주,2019,,
235,127.784 ,235~240,중부내륙선,상반기,3,창원,충북,0.6,37.038 ,충주,2019,,
20,126.759 ,20~25,당진대전선,상반기,3,당진,대전충남,0.6,36.714 ,공주,2019,,
40,126.901 ,40~45,당진대전선,상반기,3,당진,대전충남,0.6,36.590 ,공주,2019,,
45,126.951 ,45~50,당진대전선,상반기,5,당진,대전충남,1,36.574 ,공주,2019,,
65,127.114 ,65~70,당진대전선,중복,7,당진,대전충남,0.7,36.487 ,공주,2019,,
70,127.165 ,70~75,당진대전선,하반기,4,당진,대전충남,0.8,36.498 ,공주,2019,,
75,127.216 ,75~80,당진대전선,하반기,4,당진,대전충남,0.8,36.488 ,공주,2019,,
80,127.250 ,80~85,당진대전선,상반기,10,당진,대전충남,2,36.459 ,공주,2019,,
85,127.288 ,85~90,당진대전선,상반기,4,당진,대전충남,0.8,36.428 ,공주,2019,,
30,126.825 ,30~35,당진대전선,상반기,4,대전,대전충남,0.8,36.647 ,공주,2019,,
35,126.855 ,35~40,당진대전선,하반기,3,대전,대전충남,0.6,36.609 ,공주,2019,,
45,126.951 ,45~50,당진대전선,상반기,5,대전,대전충남,1,36.574 ,공주,2019,,
50,126.990 ,50~55,당진대전선,상반기,5,대전,대전충남,1,36.545 ,공주,2019,,
55,127.012 ,55~60,당진대전선,상반기,5,대전,대전충남,1,36.505 ,공주,2019,,
65,127.114 ,65~70,당진대전선,중복,14,대전,대전충남,1.4,36.487 ,공주,2019,,
70,127.165 ,70~75,당진대전선,중복,14,대전,대전충남,1.4,36.498 ,공주,2019,,
80,127.250 ,80~85,당진대전선,상반기,3,대전,대전충남,0.6,36.459 ,공주,2019,,
85,127.288 ,85~90,당진대전선,중복,9,대전,대전충남,0.9,36.428 ,공주,2019,,
255,126.619 ,255~260,서해안선,상반기,3,서울,대전충남,0.6,36.851 ,당진,2019,,
270,126.759 ,270~275,서해안선,중복,8,서울,대전충남,0.8,36.919 ,당진,2019,,
285,127.418 ,285~290,경부선,상반기,3,부산,대전충남,0.6,36.466 ,대전,2019,,
290,127.429 ,290~295,경부선,상반기,3,부산,대전충남,0.6,36.507 ,대전,2019,,
300,127.423 ,300~305,경부선,상반기,5,부산,대전충남,1,36.595 ,대전,2019,,
265,127.518 ,265~270,경부선,하반기,3,서울,대전충남,0.6,36.348 ,대전,2019,,
40,127.081 ,40~45,호남지선,상반기,3,논산,대전충남,0.6,36.426 ,대전,2019,,
50,127.109 ,50~55,호남지선,상반기,5,회덕,대전충남,1,36.508 ,대전,2019,,
20,126.777 ,20~25,서천공주선,상반기,3,공주,대전충남,0.6,36.217 ,부여,2019,,
10,126.766 ,10~15,서천공주선,상반기,3,서천,대전충남,0.6,36.128 ,부여,2019,,
20,126.777 ,20~25,서천공주선,상반기,3,서천,대전충남,0.6,36.217 ,부여,2019,,
25,126.798 ,25~30,서천공주선,상반기,5,서천,대전충남,1,36.258 ,부여,2019,,
30,126.838 ,30~35,서천공주선,상반기,3,서천,대전충남,0.6,36.287 ,부여,2019,,
35,126.876 ,35~40,서천공주선,상반기,3,서천,대전충남,0.6,36.320 ,부여,2019,,
40,126.913 ,40~45,서천공주선,상반기,4,서천,대전충남,0.8,36.353 ,부여,2019,,
260,127.556 ,260~265,경부선,상반기,3,부산,대전충남,0.6,36.318 ,영동,2019,,
220,127.932 ,220~225,경부선,상반기,4,서울,대전충남,0.8,36.216 ,영동,2019,,
255,127.603 ,255~260,경부선,중복,8,서울,대전충남,0.8,36.295 ,영동,2019,,
10,127.422 ,10~15,대전남부순환선,상반기,3,서대전,대전충남,0.6,36.278 ,영동,2019,,
305,127.384 ,305~310,경부선,상반기,4,부산,대전충남,0.8,36.625 ,천안,2019,,
310,127.373 ,310~315,경부선,상반기,4,부산,대전충남,0.8,36.668 ,천안,2019,,
320,127.309 ,320~325,경부선,상반기,4,부산,대전충남,0.8,36.726 ,천안,2019,,
330,127.217 ,330~335,경부선,하반기,3,부산,대전충남,0.6,36.760 ,천안,2019,,
340,127.168 ,340~345,경부선,상반기,4,부산,대전충남,0.8,36.825 ,천안,2019,,
305,127.384 ,305~310,경부선,하반기,3,서울,대전충남,0.6,36.625 ,천안,2019,,
325,127.256 ,325~330,경부선,상반기,3,서울,대전충남,0.6,36.735 ,천안,2019,,
330,127.217 ,330~335,경부선,상반기,4,서울,대전충남,0.8,36.760 ,천안,2019,,
10,127.054 ,10~15,호남지선,상반기,3,논산,전북,0.6,36.161 ,논산,2019,,
15,127.051 ,15~20,호남지선,하반기,3,논산,전북,0.6,36.206 ,논산,2019,,
185,127.518 ,185~190,중부선,하반기,3,통영,전북,0.6,36.105 ,무주,2019,,
135,127.609 ,135~140,중부선,상반기,4,하남,전북,0.8,35.730 ,무주,2019,,
185,126.569 ,185~190,서해안선,상반기,4,목포,전북,0.8,36.267 ,보령,2019,,
195,126.564 ,195~200,서해안선,상반기,5,목포,전북,1,36.343 ,보령,2019,,
200,126.555 ,200~205,서해안선,상반기,3,목포,전북,0.6,36.387 ,보령,2019,,
165,126.647 ,165~170,서해안선,상반기,3,서울,전북,0.6,36.109 ,보령,2019,,
65,126.583 ,65~70,서해안선,상반기,3,목포,전북,0.6,35.357 ,부안,2019,,
160,127.024 ,160~165,호남선,하반기,3,순천,전북,0.6,35.798 ,전주,2019,,
50,127.351 ,50~55,순천완주선,상반기,4,순천,광주전남,0.8,35.341 ,구례,2019,,
35,127.190 ,35~40,광주대구선,상반기,3,광주,광주전남,0.6,35.366 ,남원,2019,,
45,127.187 ,45~50,호남선,상반기,3,천안,광주전남,0.6,35.242 ,담양,2019,,
15,127.323 ,15~20,호남선,하반기,3,천안,광주전남,0.6,35.029 ,순천,2019,,
220,128.571 ,220~225,중앙선,상반기,3,부산,대구경북,0.6,36.771 ,영주,2019,,
40,129.034 ,40~45,대구포항선,상반기,3,대구,대구경북,0.6,36.054 ,영천,2019,,
95,128.398 ,95~100,당진영덕선,하반기,3,영덕,대구경북,0.6,36.399 ,청송,2019,,
165,129.130 ,165~170,당진영덕선,하반기,3,영덕,대구경북,0.6,36.494 ,청송,2019,,
45,128.128 ,45~50,중부선,상반기,3,통영,부산경남,0.6,35.129 ,고성,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
,,,,,,,,,,,2019,,
55,127.2353995,55~60,영동선,중복,5,서창,강원,0.5,37.24775218,이천,2020,500.0,
60,127.2891418,60~65,영동선,중복,14,강릉,강원,1.4,37.23903239,이천,2020,500.0,
60,127.2891418,60~65,영동선,중복,7,서창,강원,0.7,37.23903239,이천,2020,500.0,
65,127.3417510,65~70,영동선,중복,6,강릉,강원,0.6,37.25188916,이천,2020,500.0,
70,127.3924944,70~75,영동선,상반기,3,서창,강원,0.6,37.23998333,이천,2020,500.0,
265,127.5919990,265~270,중부내륙선,상반기,3,양평,강원,0.6,37.22667332,이천,2020,450.0,
270,127.5819200,270~275,중부내륙선,상반기,5,양평,강원,1.0,37.27041539,이천,2020,450.0,
270,127.5819200,270~275,중부내륙선,상반기,4,창원,강원,0.8,37.27041539,이천,2020,450.0,
210,128.6767718,210~215,영동선,상반기,4,인천,강원,0.8,37.68172555,대관령,2020,500.0,
185,128.4296797,185~190,영동선,상반기,3,인천,강원,0.6,37.60719163,대관령,2020,500.0,
100,127.7146223,100~105,영동선,상반기,3,강릉,강원,0.6,37.24914842,원주,2020,500.0,
95,127.6594950,95~100,영동선,하반기,3,인천,강원,0.6,37.25375187,원주,2020,500.0,
280,127.5419668,280~285,중부내륙선,하반기,4,창원,강원,0.8,37.34736707,이천,2020,450.0,
315,127.9125914,315~320,중앙선,중복,12,부산,강원,1.2,37.34098708,홍천,2020,550.0,
315,127.9125914,315~320,중앙선,중복,9,춘천,강원,0.9,37.34098708,홍천,2020,550.0,
320,127.8938802,320~325,중앙선,상반기,4,부산,강원,0.8,37.38295623,홍천,2020,550.0,
325,127.9169690,325~330,중앙선,상반기,4,부산,강원,0.8,37.41832587,홍천,2020,550.0,
330,127.9365380,330~335,중앙선,상반기,5,부산,강원,1.0,37.45675982,홍천,2020,550.0,
345,127.9732079,345~350,중앙선,상반기,3,부산,강원,0.6,37.57288407,홍천,2020,550.0,
360,127.8743817,360~365,중앙선,중복,9,부산,강원,0.9,37.67018364,홍천,2020,550.0,
360,127.8743817,360~365,중앙선,중복,6,춘천,강원,0.6,37.67018364,홍천,2020,550.0,
370,127.7967581,370~375,중앙선,상반기,4,부산,강원,0.8,37.72454322,홍천,2020,550.0,
370,127.7967581,370~375,중앙선,하반기,3,춘천,강원,0.6,37.72454322,홍천,2020,550.0,
50,128.8971321,50~55,동해선,중복,5,속초,강원,0.5,37.69083783,강릉,2020,650.0,
50,127.3509745,50~55,순천완주선,상반기,5,순천,광주전남,1.0,35.34066554,구례,2020,270.0,
55,127.3237419,55~60,순천완주선,상반기,5,완주,광주전남,1.0,35.37965981,구례,2020,270.0,
75,127.3149054,75~80,순천완주선,상반기,4,순천,광주전남,0.8,35.54735210,구례,2020,270.0,
25,128.8826171,25~30,대구포항선,상반기,4,대구,대구경북,0.8,36.01521806,영천,2020,207.0,
20,128.8477373,20~25,대구포항선,상반기,3,대구,대구경북,0.6,35.98051263,영천,2020,207.0,
135,128.8219773,135~140,당진영덕선,상반기,4,영덕,대구경북,0.8,36.42194292,청송,2020,303.0,
215,128.5755127,215~220,중앙선,중복,4,춘천,대구경북,0.4,36.72708471,영주,2020,550.0,
180,128.6178161,180~185,중앙선,상반기,3,부산,대구경북,0.6,36.47868350,영주,2020,550.0,
10,126.7663718,10~15,서천공주선,상반기,5,서천,대전충남,1.0,36.12754749,대전,2020,1510.0,
225,127.8809713,225~230,경부선,상반기,3,부산,대전충남,0.6,36.21975958,영동,2020,10.0,
310,127.3727573,310~315,경부선,상반기,4,서울,대전충남,0.8,36.66848896,천안,2020,10.0,
310,127.3727573,310~315,경부선,상반기,3,부산,대전충남,0.6,36.66848896,천안,2020,10.0,
20,126.7772633,20~25,서천공주선,상반기,3,서천,대전충남,0.6,36.21674456,대전,2020,1510.0,
230,127.8531751,230~235,경부선,상반기,3,부산,대전충남,0.6,36.25403093,영동,2020,10.0,
255,127.6029307,255~260,경부선,중복,5,부산,대전충남,0.5,36.29484840,영동,2020,10.0,
320,127.3085103,320~325,경부선,상반기,5,부산,대전충남,1.0,36.72644825,천안,2020,10.0,
330,127.2172880,330~335,경부선,중복,5,부산,대전충남,0.5,36.76028949,천안,2020,10.0,
25,126.7980863,25~30,서천공주선,상반기,3,서천,대전충남,0.6,36.25785170,대전,2020,1510.0,
255,127.6029307,255~260,경부선,중복,4,서울,대전충남,0.4,36.29484840,영동,2020,10.0,
260,127.5564176,260~265,경부선,하반기,4,서울,대전충남,0.8,36.31774985,영동,2020,10.0,
340,127.1681066,340~345,경부선,중복,4,부산,대전충남,0.4,36.82543110,천안,2020,10.0,
340,127.1681066,340~345,경부선,상반기,3,서울,대전충남,0.6,36.82543110,천안,2020,10.0,
0,126.6184162,0~5,당진대전선,상반기,3,당진,대전충남,0.6,36.85091501,당진,2020,305.0,
10,126.6897475,10~15,당진대전선,중복,5,당진,대전충남,0.5,36.78257846,공주,2020,305.0,
10,126.6897475,10~15,당진대전선,상반기,3,대전,대전충남,0.6,36.78257846,공주,2020,305.0,
20,126.7590962,20~25,당진대전선,중복,5,당진,대전충남,0.5,36.71401940,공주,2020,305.0,
30,126.8253850,30~35,당진대전선,상반기,3,당진,대전충남,0.6,36.64697595,공주,2020,305.0,
40,126.9009977,40~45,당진대전선,중복,4,당진,대전충남,0.4,36.59005306,공주,2020,305.0,
45,126.9511900,45~50,당진대전선,상반기,3,당진,대전충남,0.6,36.57359905,공주,2020,305.0,
55,127.0121259,55~60,당진대전선,상반기,3,대전,대전충남,0.6,36.50495053,공주,2020,305.0,
60,127.0585342,60~65,당진대전선,상반기,6,대전,대전충남,1.2,36.48478628,공주,2020,305.0,
60,127.0585342,60~65,당진대전선,상반기,5,당진,대전충남,1.0,36.48478628,공주,2020,305.0,
65,127.1135605,65~70,당진대전선,중복,8,당진,대전충남,0.8,36.48682968,공주,2020,305.0,
